Precinct,DEM,REP,NP,LPN,IAP,OTH,TOTAL
7683,545,573,499,11,84,31,1743
7684,794,644,779,17,118,35,2387
7691,667,868,737,21,89,36,2418
7705,383,524,491,15,53,18,1484
7707,164,163,129,4,21,6,487
7714,452,272,631,12,58,28,1453
7715,724,584,804,20,79,48,2259
7723,725,506,779,21,92,49,2172
7726,311,150,429,8,37,7,942
7730,963,821,1037,22,139,53,3035
7745,1,0,0,0,0,0,1
9995,0,0,0,0,0,0,0
9996,2,5,18,0,1,0,26
